bait_gene,auroc_score
ZBTB8OS,0.6020208979216902
RBBP4,0.6073219275079419
SYNC,0.7322099098581846
S100PBP,0.7338692082448183
AK2,0.7484009875409083
ZSCAN20,0.7426544698332505
ZMYM6,0.7730763833071791
ZMYM1,0.5926910489751392
SFPQ,0.540398821142879
ZMYM4,0.5639376889807479
PSMB2,0.7530268815146528
CLSPN,0.7159770862836655
TRAPPC3,0.5988441076281241
THRAP3,0.5352126153021778
OSCP1,0.7457311821783315
MRPS15,0.7937893111851088
MEAF6,0.574673709189727
SNIP1,0.7236435666303037
GNL2,0.47186818234010786
CDCA8,0.6788635000829282
INPP5B,0.7274594608387237
SF3A3,0.5394993684693994
UTP11,0.5072211377757364
RRAGC,0.7433599356950106
MYCBP,0.7534096273331548
NDUFS5,0.501607532437708
MACF1,0.6007386994297087
PABPC4,0.7729934550465036
PPIE,0.7260943340860667
TRIT1,0.7704418162564908
CAP1,0.5825113394958948
PPT1,0.7032635460124264
RLF,0.6249090978681058
ZMPSTE24,0.5180273280514409
ZNF684,0.7064936556238158
NFYC,0.7359691762034167
CTPS1,0.7199066100202854
SCMH1,0.593651522690448
FOXJ3,0.7419015904001838
ZMYND12,0.6144628810931848
PPCS,0.7725979510340517
PPIH,0.7202158810357696
YBX1,0.502794044475064
P3H1,0.6669792424184432
SVBP,0.7022506746282368
EBNA1BP2,0.6011405825391357
TIE1,0.6996956996038354
MED8,0.7029126956787995
SZT2,0.7286157202732962
PTPRF,0.617834679322795
KDM4A,0.7523443181383244
TMEM53,0.7542745593385772
KIF2C,0.6191938910260091
RPS8,0.5149844987943506
EIF2B3,0.7182671820977021
HECTD3,0.7051214330826204
UROD,0.6189892958752758
MUTYH,0.6425446402939657
TOE1,0.7404855768617394
PRDX1,0.4976907668950383
NASP,0.4648320383766474
GPBP1L1,0.6923042574093211
TMEM69,0.7851966675597403
IPP,0.7342723364080581
PIK3R3,0.715651752337939
RAD54L,0.7216053281276913
UQCRH,0.4591737793597938
MKNK1,0.7816435105446473
MOB3C,0.5760349084228054
EFCAB14,0.752012401676523
TAL1,0.6356261124189011
STIL,0.6922213291486456
CMPK1,0.7364795039614193
OSBPL9,0.4193554560416427
NRDC,0.508139727740141
RAB3B,0.47291726474134466
TXNDC12,0.6590819203633533
ZFYVE9,0.7136487158877789
PRPF38A,0.584567688598002
ZYG11A,0.7462594017339381
SCP2,0.43118230183335243
CZIB,0.6944157385080567
MAGOH,0.4646916982431966
LRP8,0.6775813015909466
NDC1,0.7521465661320984
