bait_gene,auroc_score
NOC2L,0.6679450588655013
ISG15,0.6903360095153137
SDF4,0.5782337198929527
AURKAIP1,0.7685994647636039
MRPL20,0.507762312633833
SSU72,0.8102289622360987
SLC35E2B,0.6458519179304192
RER1,0.7270294380017841
WRAP73,0.47540886113589054
C1orf174,0.8362176628010705
PIK3CD,0.7226286054118347
CLSTN1,0.7905441570026761
LZIC,0.5736527480371163
KIF1B,0.5933987511150758
PGD,0.7060957478441867
DFFA,0.8429973238180196
EXOSC10,0.5774011299435028
MTOR,0.631043710972346
MAD2L2,0.4630389533154921
VPS13D,0.75914362176628
FBLIM1,0.47540886113589054
ZBTB17,0.7693131132917038
NECAP2,0.6111210228962236
IFFO2,0.4774308652988403
UBR4,0.527326791555159
MRTO4,0.7724055902468034
MICOS10,0.623788284269997
HP1BP3,0.6854594112399642
ECE1,0.5660422242045792
USP48,0.6497769848349687
HSPG2,0.4327683615819209
CDC42,0.7258994944989592
EPHB2,0.8692833779363663
RSRP1,0.8347308950341956
LDLRAP1,0.5405292893250074
UBXN11,0.7104371097234612
NUDC,0.6468629200118942
WASF2,0.7114114917915775
RPA2,0.7116345467523197
ATP5IF1,0.511864406779661
TRNAU1AP,0.4771335117454653
EPB41,0.6649268379728765
TMEM39B,0.9247100802854594
KPNA6,0.4805828129646149
TMEM234,0.4470413321439191
EIF3I,0.6457924472197443
ZBTB8OS,0.5748438893844782
AK2,0.5312518584597086
ZMYM6,0.6164139161462978
CLSPN,0.9135295866785608
MEAF6,0.4843294677371394
INPP5B,0.7928040440083258
MYCBP,0.8991376746952126
MACF1,0.5660422242045793
PPIE,0.6641238401142042
P3H1,0.6876338329764453
SVBP,0.5844186738031519
PTPRF,0.671721677074041
KDM4A,0.5682426404995539
TMEM53,0.8720190306274159
RPS8,0.6664882545346417
HECTD3,0.8828426999702645
MUTYH,0.5947665774606007
TOE1,0.5947665774606007
PRDX1,0.8935474278917633
PIK3R3,0.5851323223312518
MKNK1,0.42420457924472194
EFCAB14,0.6623847754980672
STIL,0.6485280999107939
CMPK1,0.8735057983942908
RAB3B,0.48183169788878977
TXNDC12,0.6357418971156705
KTI12,0.6357418971156705
ZFYVE9,0.46993755575379126
LRP8,0.675231977159172
TMEM59,0.4613737734165923
TCEANC2,0.6367528991971454
MRPL37,0.7216176033303597
OMA1,0.5771324054246967
MYSM1,0.5736527480371163
JUN,0.5075811630396004
USP1,0.6976509069283378
ITGB3BP,0.665462169878658
LEPROT,0.8419863217365448
PDE4B,0.5498067201903063
SERBP1,0.5630092179601546
GADD45A,0.5479036574487065
ANKRD13C,0.47540886113589054
CRYZ,0.7174546535831103
TYW3,0.7046684507879869
RABGGTB,0.6110020814748736
CCN1,0.6617305976806422
SH3GLB1,0.6886113589057389
LRRC8D,0.7088908712459113
ZNF644,0.6787392209336901
CDC7,0.5238774903360095
RPL5,0.5432054713053821
DR1,0.7450490633363068
ARHGAP29,0.92019030627416
PTBP2,0.7724055902468034
SNX7,0.47540886113589054
SLC35A3,0.7724055902468034
S1PR1,0.6708296164139161
PRMT6,0.6698186143324412
GPSM2,0.5616970021413276
AHCYL1,0.6249776984834968
DRAM2,0.7168004757656853
CEPT1,0.7168004757656853
MOV10,0.6924174843889384
SLC16A1,0.5361220121298609
PTPN22,0.7226286054118347
HIPK1,0.7101992268807612
ATP1A1,0.7685994647636039
IGSF3,0.47540886113589054
TTF2,0.6186143324412726
MAN1A2,0.6924518201284797
WDR3,0.7258400237882842
NOTCH2,0.6908712459113886
PDE4DIP,0.4142134998513232
VPS45,0.5574784418673803
MCL1,0.6791131334760885
SCNM1,0.7178709485578353
PSMD4,0.6192472351052444
POGZ,0.8230151650312221
TDRKH,0.6441272673208445
THEM4,0.752542372881356
S100A16,0.768302111210229
S100A13,0.7008028545941124
CHTOP,0.47540886113589054
C1orf43,0.8867677668748141
UBAP2L,0.4358608385370205
UBE2Q1,0.6016651798988998
SHC1,0.882714948269711
FDPS,0.61942362598144185
MSTO1,0.7184266856938994
RIT1,0.6254534641688968
ARHGEF2,0.48278322925958966
LMNA,0.5403508771929824
SMG5,0.5496877787689562
NAXE,0.7019922688076122
PIGM,0.4805828129646149
NDUFS2,0.6488222698072805
SDHC,0.7220289079229122
DDR2,0.5820398453761522
TMCO1,0.46137377341659225
GPR161,0.8758846268212904
BLZF1,0.7222717811477847
SCYL3,0.6288432946773713
KIFAP3,0.8817722271781148
DNM3,0.7312518584597086
SUCO,0.6011894142134998
TOR3A,0.8914659530181385
SOAT1,0.5163841807909604
TOR1AIP1,0.6582218257508177
QSOX1,0.40541183467142433
LHX4,0.9127564674397859
ARPC5,0.6369907820398454
RGL1,0.6516800475765685
TSEN15,0.8823074635741897
EDEM3,0.8597085935176925
RNF2,0.39530181385667557
TRMT1L,0.8979482604817127
SWT1,0.7210823669342848
PTPRC,0.6406184953910199
ZNF281,0.5316681534344335
TIMM17A,0.5495093666369313
KDM5B,0.46054118346714246
RABIF,0.6572702943800178
ATP2B4,0.46523936961046686
LAX1,0.6944989592625632
PPP1R15B,0.6563187630092179
RBBP5,0.6887303003270889
RAB29,0.5064525721082367
CD46,0.40273565269104966
NSL1,0.6552016416845111
RPS6KC1,0.5923877490336009
RRP15,0.6349687778768955
MIA3,0.46345524829021706
CAPN2,0.6644662503716919
CNIH4,0.4950936663693131
WDR26,0.7226286054118347
LBR,0.7632048536759457
TMEM63A,0.7176925364258103
PYCR2,0.4665477252453166
PARP1,0.9837673920799144
ITPKB,0.3870353850728516
CDC42BPA,0.6650014867677668
SNAP47,0.5539696699375557
ARF1,0.9369610466845079
NUP133,0.9329170383586084
