bait_gene,auroc_score
NASP,0.5741567638938903
GPBP1L1,0.5896891129516264
TMEM69,0.5559536670267675
IPP,0.46985355899651904
PIK3R3,0.5608750450126035
RAD54L,0.6164746128916097
UQCRH,0.5766354579282199
MKNK1,0.6514344016324571
MOB3C,0.5215520345696795
EFCAB14,0.5985595966870724
TAL1,0.6328351938542792
STIL,0.5869943584203577
CMPK1,0.5791741687672548
OSBPL9,0.5852658744448446
NRDC,0.6231904933381347
RAB3B,0.594322410274877
TXNDC12,0.647053174888969
ZFYVE9,0.5168767254831352
PRPF38A,0.6026707478093867
ZYG11A,0.5598367542912015
SCP2,0.5287660544952587
CZIB,0.5974432841195535
MAGOH,0.5541051494418437
LRP8,0.5928339935181851
NDC1,0.44384827751770495
YIPF1,0.6971071900132036
TMEM59,0.550090025207058
TCEANC2,0.510767014764134
MRPL37,0.6099387828592006
SSBP3,0.5877025567158805
TTC4,0.5583003240907455
USP24,0.5722962429480255
OMA1,0.6120153643020045
MYSM1,0.5682751170327692
JUN,0.5591825711199137
TM2D1,0.4976353378946105
USP1,0.5174468851278358
ITGB3BP,0.5592545912855599
JAK1,0.5456307766174529
PDE4B,0.6817428880086424
MIER1,0.5506421798103469
SLC35D1,0.6282138998919697
SERBP1,0.6354579282199017
GADD45A,0.5695054615292282
GNG12,0.5063737846597047
LRRC40,0.5640799423838675
SRSF11,0.5108390349297803
ANKRD13C,0.6025147041171528
ZRANB2,0.5588029366460621
CRYZ,0.5644220381706878
TYW3,0.590541351578442
SLC44A5,0.6258732445084624
ACADM,0.5621594046332974
RABGGTB,0.5558036250150042
PIGK,0.5413755851638459
ZZZ3,0.49705317488896894
USP33,0.5452226623454567
NEXN,0.5795522746368983
FUBP1,0.5302184611691273
DNAJB4,0.6990937462489497
PRKACB,0.5455587564518065
RPF1,0.48055455527547714
GNG5,0.631478814067939
SSX2IP,0.5174828952106589
SYDE2,0.5930440523346537
CCN1,0.5671468011043092
ZNHIT6,0.5571359980794622
ODF2L,0.5825231064698115
SH3GLB1,0.5651182331052694
SELENOF,0.6467530908654424
HS2ST1,0.5819829552274637
PKN2,0.588182691153523
GTF2B,0.5341615652382666
KYAT3,0.49222182211019083
RBMXL1,0.5144580482535109
GBP3,0.5902652742767975
GBP5,0.5807526107310047
LRRC8C,0.5999519865562357
LRRC8D,0.5998319529468251
ZNF326,0.5006061697275237
ZNF644,0.5522266234545673
CDC7,0.608600408114272
RPAP2,0.575903252910815
RPL5,0.6343462228356905
DIPK1A,0.501998559596687
MTF2,0.5402832793182091
TMED5,0.5714079942383867
CCDC18,0.5777157604129156
DR1,0.5786280158444365
FNBP1L,0.5308786460208859
DNTTIP2,0.550552154603289
CNN3,0.5348697635337895
RWDD3,0.6316048493578202
PTBP2,0.5980494538470772
PALMD,0.5170627775777218
SLC35A3,0.6060616972752371
MFSD14A,0.556421798103469
SASS6,0.5310286880326491
TRMT13,0.6028387948625615
RTCA,0.533363341735686
SLC30A7,0.6054135157844196
DPH5,0.5441003480974673
S1PR1,0.589899171768095
PRMT6,0.5786940343296123
VAV3,0.5884107550114032
SLC25A24,0.6152682751170327
NBPF6,0.5059296603048854
HENMT1,0.5408174288800864
PRPF38B,0.5730884647701356
STXBP3,0.5428940103228904
GPSM2,0.562279438242708
WDR47,0.6209098547593326
TAF13,0.6243608210298884
TMEM167B,0.5392809986796303
PSRC1,0.5764854159164566
PSMA5,0.6319709518665226
GNAI3,0.538860881046693
GSTM2,0.6670687792581923
AHCYL1,0.508996519025327
RBM15,0.6435902052574721
LAMTOR5,0.6253871083903494
LRIF1,0.5691393590205257
DRAM2,0.6028988116672669
CEPT1,0.5693614211979354
WDR77,0.6270915856439803
ATP5PB,0.6708198295522746
C1orf162,0.49293602208618414
RAP1A,0.5744268395150642
ST7L,0.589028928099868
CAPZA1,0.4886928339935182
MOV10,0.6246429000120034
RHOC,0.633837474492858
SLC16A1,0.5730524546873124
PHTF1,0.5623274516864722
PTPN22,0.59356619853559
TRIM33,0.587900612171408
BCAS2,0.5506181730884648
NRAS,0.5689593086064098
CSDE1,0.5318329132157004
SIKE1,0.5609890769415437
VANGL1,0.5455347497299243
ATP1A1,0.5485355899651903
IGSF3,0.6836574240787421
TTF2,0.6337294442443885
MAN1A2,0.5578862081382787
TENT5C,0.5752130596567039
WDR3,0.5349357820189653
WARS2,0.5585343896290962
PHGDH,0.5258732445084623
SEC22B,0.5399111751290361
NBPF8,0.6143920297683352
NBPF26,0.597653342936022
SRGAP2C,0.6422098187492498
NBPF15,0.6369283399351818
SRGAP2B,0.6476593446164927
NBPF20,0.6381706877925819
GPR89A,0.6344256391789701
GPR89B,0.6073100468131076
RNF115,0.5496999159764735
POLR3C,0.5677049573880687
RBM8A,0.6120333693434162
POLR3GL,0.5363461769295402
NBPF10,0.5895870843836274
NBPF12,0.6434221582042973
PRKAB2,0.6194934581682872
CHD1L,0.5362561517224823
NBPF11,0.6171588044652503
NBPF14,0.6188752850798224
PDE4DIP,0.4789581082703157
NBPF19,0.6185932060977074
SF3B4,0.6684611691273556
OTUD7B,0.48194094346417
VPS45,0.49691513623814665
ANP32E,0.5419997599327812
MRPS21,0.7103829072140199
PRPF3,0.5156043692233825
RPRD2,0.5936922338254712
TARS2,0.653102868803265
MCL1,0.6993818269115352
ENSA,0.7248769655503541
GOLPH3L,0.666354579282199
SETDB1,0.5535049813947905
MINDY1,0.6944544472452286
PRUNE1,0.6420957868203097
MLLT11,0.5155803625015004
SCNM1,0.5908714440043212
VPS72,0.6126215340295282
PIP5K1A,0.44377625735205856
PSMD4,0.5240127235625975
PI4KB,0.5108030248469572
RFX5,0.5208858480374505
PSMB4,0.6095306685872044
POGZ,0.5868563197695355
SNX27,0.5890229264193975
MRPL9,0.666072500300084
